wpm,ac,r,t,sl,tid,gn,np,pts
138.28,1,3,1643650380.481,L6,3811051,2005,5,106.01
131.85,0.99,2,1643650345.438,L6,3640374,2004,4,83.51
114.91,0.97,1,1643650201.618,L6,3100104,2003,5,61.29
112.12,0.98,1,1643649423.902,L6,3622370,2002,5,71.01
121.34,0.99,2,1643645764.174,L6,4180863,2001,5,99.09
132.4,1,1,1643602387.703,L6,629,2000,4,163.29
127.14,0.98,1,1643415121.191,L6,3621975,1999,5,46.62
125.34,0.98,1,1643415084.393,L6,3640846,1998,5,100.28
118.08,0.97,1,1643336802.328,L6,3811368,1997,5,72.82
122.51,0.98,3,1643329582.62,L6,4350635,1996,5,130.68
132.19,0.99,2,1643329500.237,L6,3640433,1995,5,79.31
125.38,0.96,1,1643329468.956,L6,486,1994,4,62.69
114.37,0.97,1,1643329341.759,L6,3100108,1993,5,62.9
107.89,0.96,1,1643315837.283,L6,4180549,1992,5,57.54
131.26,0.99,1,1643315799.325,L6,4060020,1991,5,100.63
125.3,0.98,1,1643315629.667,L6,4180681,1990,5,108.6
145.13,1,2,1643315562.412,L6,3640357,1989,4,120.94
121.52,0.99,1,1643310854.459,L6,3550124,1988,5,157.97
131.39,0.99,1,1643310796.417,L6,3622246,1987,5,146.72
127.32,0.99,1,1643310751.116,L6,3622296,1986,4,108.22
101.12,0.96,5,1643307910.059,L6,549,1985,5,62.36
141.14,1,1,1643307846.621,L6,3622293,1984,4,117.62
126.93,0.98,2,1643307798.924,L6,3640510,1983,5,118.47
122.99,0.98,1,1643307750.736,L6,3811277,1982,5,139.39
128.13,0.99,1,1643307701.856,L6,3550944,1981,5,111.04
138.35,0.98,1,1643307662.125,L6,3620305,1980,5,78.4
143.3,1,1,1643243302.49,L6,4350124,1979,5,102.7
124.58,0.99,1,1643243269.273,L6,3550510,1978,5,124.58
108.72,0.97,1,1643145981.098,L6,3100071,1977,2,79.73
117.07,0.98,1,1643145432.845,L6,3100054,1976,5,39.02
109.22,0.98,2,1643133206.804,L6,3810129,1975,3,67.35
116.9,0.99,2,1643132984.315,L6,3640384,1974,4,83.78
122.53,0.98,2,1643132946.658,L6,111,1973,4,110.27
119.18,0.98,3,1643047444.138,L6,72,1972,5,81.44
137.09,0.99,2,1643047409.162,L6,3810831,1971,5,148.52
126.32,0.99,1,1643047355.285,L6,52,1970,4,122.11
122.72,0.99,3,1642989062.911,L6,3810389,1969,5,87.95
110.03,0.98,1,1642989018.381,L6,3621133,1968,5,122.87
116.33,0.98,2,1642988971.445,L6,4350280,1967,5,108.57
128.16,0.99,1,1642988931.599,L6,4180017,1966,4,158.07
124.3,0.95,1,1642988882.837,L6,3950026,1965,4,89.08
115.62,0.98,2,1642988669.828,L6,556,1964,3,92.5
124.02,0.99,1,1642986262.42,L6,3550020,1963,5,64.08
118.24,0.98,1,1642986229.776,L6,4180863,1962,4,96.57
121.02,0.98,2,1642986124.424,L6,3811028,1961,5,78.66
126.16,0.98,1,1642955542.978,L6,3622188,1960,5,161.9
112.66,0.96,1,1642621504.718,L6,3621119,1959,4,60.08
129.31,0.99,3,1642608491.28,L6,3640434,1958,5,105.6
136.65,1,2,1642539749.808,L6,3550045,1957,5,95.66
119.61,0.97,2,1641946052.013,L6,3550786,1956,4,159.49
105.05,0.96,3,1641944263.118,L6,3620495,1955,4,84.04
119.78,0.98,1,1641944221.998,L6,3810134,1954,5,97.82
128.39,0.99,2,1641920106.942,L6,3621180,1953,5,124.11
150.47,0.99,1,1641834540.771,L6,3100075,1952,5,77.74
124.45,0.98,3,1641834285.059,L6,571,1951,4,126.53
116.3,0.98,1,1641833941.309,L6,3620324,1950,5,58.15
128.77,0.99,1,1641700026.207,L6,4070066,1949,5,83.7
130.63,0.99,1,1641699987.123,L6,3100079,1948,4,139.34
135.67,0.99,1,1641699939.954,L6,3810333,1947,5,79.14
145.21,1,1,1641579389.487,L6,4180018,1946,4,75.03
111.16,0.97,3,1641579361.483,L6,716,1945,5,111.16
126.66,0.98,2,1641579210.025,L6,3550176,1944,5,152
127.5,0.98,1,1641579159.65,L6,3620558,1943,2,82.87
120.68,0.98,1,1641579120.384,L6,4180270,1942,5,124.7
129.22,0.98,1,1641576190.287,L6,3640205,1941,5,94.76
138.61,0.99,1,1641576140.629,L6,3810129,1940,5,85.48
135.63,0.99,1,1641576114.136,L6,3620074,1939,5,70.08
129.76,0.98,1,1641515875.783,L6,3640326,1938,3,97.32
134.56,0.99,1,1641515813.535,L6,3100092,1937,5,56.07
124.04,0.96,1,1641515787.879,L6,4180603,1936,2,126.11
128.31,0.98,1,1641515688.931,L6,3810731,1935,5,226.67
132.81,0.99,2,1641490109.415,L6,3100022,1934,5,53.13
129.68,0.99,1,1641487906.339,L6,3622234,1933,4,129.68
135.36,0.99,1,1641445475.112,L6,3641349,1932,2,216.57
127.52,0.99,2,1641445325.381,L6,4350162,1931,4,157.28
120.85,0.97,1,1641411813.948,L6,3550393,1930,3,92.66
100.74,0.96,1,1641411783.494,L6,3810627,1929,2,50.37
126.83,0.99,1,1641398384.164,L6,4350363,1928,5,107.81
